RNA.1	RNA.2	RNA.3	RNA.4	RNA.8	RNA.11	RNA.12	RNA.15	RNA.16	RNA.17	RNA.19	RNA.20
Sulf2	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Gm11466	0	0	0	0	0	0	0	0	0	0	0	0
Gm11467	0	0	0	0	0	0	0	0	0	0	0	0
Gm11468	0	0	0	0	0	0	0	0	0	0	0	0
Gm14268	0	0	0	0	0	0	0	0	0	0	0	0
5031425F14Rik	0	0	0	0	0	0	0	0	0	0	0	0
Prex1	0	0	0	0	0	0	0	0	0	0	0	0
Trp53rkb	0.0571428571428571	0.333333333333333	0	0	0	1	0	0.5	0	0	0.1	0
Arfgef2	0.171428571428571	0	0.5	0	0	0	0	0	1	0	0.1	0
Cse1l	0.285714285714286	0	1	0	0	0	0	0.5	0	0	0.4	1
Gm17096	0	0	0	0	0	0	0	0	0	0	0	0
Stau1	0.457142857142857	0	0.5	0	0.5	1	0	0	0	0.5	0.1	0
Ddx27	0.514285714285714	0.333333333333333	0.5	1	0	0	1	0	0	0	0.3	0
Znfx1	0.0285714285714286	0	0.5	0	0	0	0	0	0	0	0	0
Kcnb1	0	0.333333333333333	1.5	0	0.5	0	0	0	0	0	0.2	0
Ptgis	0.485714285714286	0	0.5	1	1.5	0	0	0	0	0	0.2	0
Gm14291	0	0	0	0	0	0	0	0	0	0	0	0
B4galt5	0.0857142857142857	0	0	0	0.5	0	0	0	0	0	0	0
Slc9a8	0.142857142857143	0	0	1	0	2	0	0	0	0	0	0
Spata2	0.114285714285714	0	0	1	0	0	0	0	0	0	0	1
Rnf114	0.171428571428571	0	0	0	0	0	0	0	1	0	0.2	1
Snai1	0	0	0	0	0	0	0	0	0	0	0	0
Ube2v1	0.0571428571428571	0	0	0	0	0	0	0	0	0	0	0
Gm20431	0	0	0	0	0	0	0	0	0	0	0	0
Tmem189	0.285714285714286	0.666666666666667	0	0	0	0	0	0	0	0	0.1	0
Gm14320	0	0	0	0	0	0	0	0	0	0	0	0
Cebpb	0.428571428571429	0	0	0	2	0	0	0.5	0	0.5	0.3	0
A530013C23Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm14321	0	0	0	0	0	0	0	0	0	0	0	0
9230111E07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1200007C13Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm14319	0	0	0	0	0	0	0	0	0	0	0	0
Ptpn1	0.257142857142857	0.333333333333333	0	1	1	1	1	0.5	0	0	0.2	1
Ripor3	0	0	0	0	0	0	0	0	0	0	0	0
Gm14236	0	0	0	0	0	0	0	0	0	0	0	0
Pard6b	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Gm14235	0	0	0	0	0	0	0	0	0	0	0	0
E130018N17Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm20716	0	0	0	0	0	0	0	0	0	0	0	0
Adnp	0.171428571428571	0.333333333333333	0	0	0.5	0	0	0	0	0.5	0.3	0
Dpm1	0.314285714285714	0.333333333333333	0	1	0.5	0	0	0	0	0	0.3	1
Mocs3	0	0	0	0	0	0	0	0	0	0	0	0
Kcng1	0	0	0	0	0	0	0	0	0	0	0	0
Gm14262	0	0	0	0	0	0	0	0	0	0	0	0
Nfatc2	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Atp9a	0.228571428571429	0	0	0	1	1	0	0	0	0	0	0
Sall4	0	0	0	0	0	0	0	0	0	0	0.1	0
Zfp64	0.114285714285714	0	0	0	0	0	0	0	0	0	0.2	1
1700017J07Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm14260	0	0	0	0	0	0	0	0	0	0	0	0
Gm9873	0	0	0	0	0	0	0	0	0	0	0	0
Gm14258	0	0	0	0	0	0	0	0	0	0	0	0
9430093N23Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm14250	0	0	0	0	0	0	0	0	0	0	0	0
4930529I22Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm14249	0	0	0	0	0	0	0	0	0	0	0	0
Gm11011	0	0	0	0	0	0	0	0	0	0	0	0
Tshz2	0.4	0.333333333333333	0	0	0	0	0	1	2	0.5	0.7	0
Gm26883	0	0	0	0	0	0	0	0	0	0	0	0
A630075F10Rik	0	0	0	0	0	0	0	0	0	0	0	0
Zfp217	0	0.333333333333333	0	1	0	0	0	0	0	0	0.1	0
Gm17619	0	0	0	0	0	0	0	0	0	0	0	0
Bcas1	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Bcas1os2	0	0	0	0	0	0	0	0	0	0	0	0
Bcas1os1	0	0	0	0	0	0	0	0	0	0	0	0
Cyp24a1	0	0	0	0	0	0	0	0	0	0	0	0
Pfdn4	0.485714285714286	0	1.5	0	1.5	0	0	0.5	1	0.5	0.8	1
Gm16796	0	0	0	0	0	0	0	0	0	0	0	0
Gm14637	0	0	0	0	0	0	0	0	0	0	0	0
4930470P17Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm14264	0	0	0	0	0	0	0	0	0	0	0	0
Dok5	0	0	0	0	0	0	0	0	0	0	0	0
Gm14266	0	0	0	0	0	0	0	0	0	0	0	0
Gm14640	0	0	0	0	0	0	0	0	0	0	0	0
1700007M16Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm14272	0	0	0	0	0	0	0	0	0	0	0	0
Gm14641	0	0	0	0	0	0	0	0	0	0	0	0
Cbln4	0	0	0	0	0	0	0	0	0	0	0	0
Gm14271	0	0	0	0	0	0	0	0	0	0	0	0
Mc3r	0	0	0	0	0	0	0	0	0	0	0	0
Gm14275	0	0	0	0	0	0	0	0	0	0	0	0
Gm14273	0	0	0	0	0	0	0	0	0	0	0	0
Fam210b	0.0571428571428571	0.333333333333333	0	0	0	0	0	0	0	0	0.2	0
Aurka	0.0857142857142857	0	0	0	0.5	0	0	0	0	0	0	0
Cstf1	0.0571428571428571	0	0	0	0	1	0	0	0	0	0.1	0
Cass4	0	0	0	0	0	0	0	0	0	0	0	0
Gm14455	0	0	0	0	0	0	0	0	0	0	0	0
Rtf2	0.485714285714286	0	0.5	0	0.5	0	1	0	0	1	0.2	0
Gcnt7	0	0	0	0	0	0	0	0	0	0	0	0
Fam209	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2c	0	0	0	0	0	0	0	0	0	0	0	0
Bmp7	0	0	0	0	0	0	0	0	0	0	0	0
Spo11	0	0	0	0	0	0	0	0	0	0	0	0
Rae1	0.4	0	0	0	0.5	2	1	0	1	0	0.2	1
Rbm38	0.2	0	0	0	0	0	1	0	0	0	0	0
Gm14453	0	0	0	0	0	0	0	0	0	0	0	0
Ctcfl	0	0	0	0	0	0	0	0	0	0	0	0
Ctcflos	0	0	0	0	0	0	0	0	0	0	0	0
Pck1	0	0	0	0	0	0	0	0	0	0	0	0
Zbp1	0	0	0	0	0	0	0	0	0	0	0	0
Pmepa1	1.54285714285714	0.666666666666667	0.5	2	3	2	2	1	0	1.5	0.8	0
Pmepa1os	0	0	0	0	0	0	0	0	0	0	0	0
Gm14642	0	0	0	0	0	0	0	0	0	0	0	0
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd60	0	0	0	0	0	0	0	0	0	0	0	0
Rab22a	0.8	0	1.5	3	1.5	0	0	0.5	4	1	0.8	0
1700010B08Rik	0	0	0	0	0	0	0	0	0	0	0	0
Vapb	1.31428571428571	0.666666666666667	1	1	2	4	1	1.5	1	2	1.2	1
Stx16	0.428571428571429	1	0	0	0	0	0	0	0	1	0.5	3
Npepl1	0.857142857142857	0	0.5	0	1.5	0	1	0.5	2	0.5	1	3
Gm10714	0	0	0	0	0	0	0	0	0	0	0	0
Nespas	0.142857142857143	0	0	0	0	1	0	0	1	0	0.2	0
Gnas	36.3714285714286	23.3333333333333	21.5	25	36	54	44	14.5	61	30	34.8	45
Gm20721	0.142857142857143	0	0	0	0.5	0	0	0	0	0	0	0
Nelfcd	0.285714285714286	0	0	1	0	2	1	0	0	0	0.1	1
Ctsz	1.4	1	0	1	1	2	0	0	3	0.5	0.7	1
Tubb1	0	0	0	0	0	0	0	0	0	0	0	0
Atp5e	9.25714285714286	2.66666666666667	4.5	4	7	17	6	3.5	4	1.5	3.9	15
Prelid3b	0.571428571428572	0	0.5	1	0	0	1	0.5	0	0	0.2	2
Zfp831	0	0	0	0	0	0	0	0	0	0	0	0
Edn3	0	0	0	0	0	0	0	0	0	0	0	0
Gm14618	0	0	0	0	0	0	0	0	0	0	0	0
Gm14616	0	0	0	0	0	0	0	0	0	0	0	0
Gm14444	0	0	0	0	0	0	0	0	0	0	0	0
Gm14393	0	0	0	0	0	0	0	0	0	0	0	0
Gm14399	0	0	0	0	0	0	0	0	0	0	0	0
Gm14443	0	0	0	0	0	0	0	0	0	0	0	0
Gm14391	0	0	0	0	0	0	0	0	0	0	0	0
Gm14440	0	0	0	0	0	0	0	0	0	0	0	0
Gm4631	0.0571428571428571	0	0	1	0.5	1	0	0	0	0	0.1	0
Zfp968	0.0571428571428571	0	0	0	0	0	0	0	0	0	0.1	0
Gm4724	0.0571428571428571	0	0	0	0	0	0	0	0	0	0	0
Zfp965	0	0	0	0	0	0	0	0	0	0	0	0
Gm11007	0	0	0	0	0	0	0	0	0	0	0	0
Zfp969	0	0	0	0	0	0	0	0	0	0	0	0
Gm2007	0	0	0	0	0	0	0	0	0	0	0	0
Gm14288	0	0	0	0	0	0	0	0	0	0	0	0
Gm6710	0.0857142857142857	0	0	0	0	0	0	0	0	0	0.1	0
Zfp966	0	0	0	0	0	0	0	0	0	0	0	0
Gm2026	0	0	0	0	0	0	0	0	0	0	0.1	0
Gm11008	0	0	0	0	0	0	0	0	0	0	0	0
Gm2004	0	0	0	0	0	0	0	0	0	0	0	0
2210418O10Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm11009	0	0	0	0	0	0	0	0	0	0	0	0
Gm14435	0	0	0	0	0	0	0	0	0	0	0	0
Gm14434	0	0	0	0	0	0	0	0	0	0	0	0
Zfp967	0	0	0	0	0	0	0	0	0	0	0	0
Gm14308	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Zfp973	0	0	0	0	0	0	0	0	0	0	0	0
Gm14305	0.171428571428571	0	0	0	0	1	0	0	0	0	0.2	0
Gm14295	0.0571428571428571	0	0	0	0	0	0	0	0	0	0	0
Gm14408	0	0	0	0	0	0	0	0	0	0	0	0
Gm14296	0.114285714285714	0	0	0	0	0	0	0	0	0	0	0
Gm14419	0	0	0	0	0	0	0	0	0	0	0.1	0
Gm14401	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Gm14410	0.0571428571428571	0	0	0	0	0	0	0	0	0	0	0
Gm14409	0	0	0	0	0	0	0	0	0	0	0	0
Gm14412	0	0	0	0	0	0	0	0	0	0	0	0
Gm14418	0	0	0	0	0	0	0	0	0	0	0	0
Zfp970	0.0285714285714286	0	0	0	0	0	0	0.5	0	0	0.1	0
Gm14403	0	0	0	0	0.5	0	0	0	1	0	0.1	0
Gm14406	0	0	0	0	0	0	0	0	0	0	0	0
Gm14322	0	0	0	0	0	0	0	0	0	0	0	0
Gm14325	0	0	0	0	0	0	0	0	0	0	0	0
Gm14327	0	0	0	0	0	0	0	0	0	0	0	1
Zfp972	0	0	0	0	0	0	0	0	0	0	0	0
Gm14326	0	0	0	0	0	0	0	0	0	0	0.1	0
Zfp971	0	0	0	0	0	0	0	0	0	0	0.1	0
Gm26869	0	0	0	0	0	0	0	0	0	0	0	0
Zfp931	0.171428571428571	0	0.5	0	0.5	0	0	0	0	0	0	0
Phactr3	0	0	0	0	0	0	0	0	0	0	0	0
Sycp2	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r3d	0.171428571428571	0.333333333333333	0.5	0	0	0	0	0	0	0.5	0	0
Fam217b	0.114285714285714	0	0	0	0	0	0	0.5	0	0	0.2	0
Cdh26	0	0	0	0	0	0	0	0	0	0	0	0
4930591A17Rik	0	0	0	0	0	0	0	0	0	0	0	0
Cdh4	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Taf4	0	0	0	0	0	0	0	0	0	0	0.3	0
Lsm14b	0.4	0.333333333333333	0.5	0	0	0	0	0	0	0	0.4	0
Psma7	3.28571428571429	2.33333333333333	1.5	1	1	6	3	1	2	2.5	2.3	1
Ss18l1	0	0	0	0	0	0	0	0	0	0	0	0
Mtg2	0.142857142857143	0	0	0	0	1	1	0	0	0	0.1	1
Hrh3	0	0	0	0	0	0	0	0	0	0	0	0
Gm17180	0	0	0	0	0	0	0	0	0	0	0	0
Osbpl2	0.2	0	0	0	0.5	0	0	0	0	0	0.2	0
Adrm1	0.457142857142857	0	0.5	0	1.5	0	2	0.5	1	1.5	0.7	1
Lama5	0.628571428571429	1.33333333333333	1	3	1.5	0	3	0	0	2	0.2	0
Rps21	23.6	7.33333333333333	6.5	16	26.5	28	9	7	5	3	8.1	16
Cables2	0.0571428571428571	0	0	0	0.5	0	0	0.5	0	0	0	0
Rbbp8nl	0	0	0	0	0	0	0	0	0	0	0	0
Gata5	0	0	0	0	0	0	0	0	0	0	0	0
Gata5os	0	0	0	0	0	0	0	0	0	0	0	0
B230312C02Rik	0	0	0	0	0	0	0	0	0	0	0	0
Slco4a1	0	0	0	0	0	0	0	0	0	0	0	0
Ntsr1	0	0	0	0	0	0	0	0	0	0	0	0
Mrgbp	0.0857142857142857	0.333333333333333	0.5	0	0.5	0	1	0	0	0	0	0
Ogfr	0.342857142857143	0	0.5	1	0	0	1	0.5	0	0	0.2	0
Col9a3	0	0	0	0	0	0	0	0	0	0	0	0
Tcfl5	0	0	0	0	0	0	0	0	0	0	0	0
Dido1	0.2	0	0.5	1	1.5	0	2	0.5	0	0	0.2	0
Gid8	0.285714285714286	0	0.5	1	0.5	0	0	0	0	0.5	0.2	0
Slc17a9	0	0	0	0	0	0	0	0	0	0	0	0
Bhlhe23	0	0	0	0	0	0	0	0	0	0	0	0
Gm14340	0	0	0	0	0	0	0	0	0	0	0	0
Gm14342	0	0	0	0	0	0	0	0	0	0	0	0
Gm14344	0	0	0	0	0	0	0	0	0	0	0	0
Gm14339	0	0	0	0	0	0	0	0	0	0	0	0
Gm27032	0	0	0	0	0	0	0	0	0	0	0	0
Ythdf1	0.371428571428571	0	0	1	0	1	0	1	1	0	0.2	0
Birc7	0	0	0	0	0	0	0	0	0	0	0	0
Nkain4	0.142857142857143	0	0	0	0	0	0	0	0	0	0	0
Gm14341	0	0	0	0	0	0	0	0	0	0	0	0
Arfgap1	0.2	0.333333333333333	0	0	0.5	0	0	0	0	0.5	0.1	1
Col20a1	0	0	0	0	0	0	0	0	0	0	0	0
Chrna4	0	0	0	0	0	0	0	0	0	0	0	0
Kcnq2	0	0	0	0	0	0	0	0	0	0	0	0
Eef1a2	0	0	0	0	0	0	0	0	0	0	0.1	0
Ppdpf	1.14285714285714	2	0.5	2	2.5	0	3	0	1	1.5	0.7	4
Ptk6	0	0	0	0	0	0	0	0	0	0	0	0
Srms	0	0	0	0	0	0	0	0	0	0	0	0
Fndc11	0	0	0	0	0	0	0	0	0	0	0	0
Helz2	0	0	0	0	0	0	0	0.5	0	0	0	0
Gmeb2	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Stmn3	0	0	0	0	0	0	0	0	0	0	0	0
Rtel1	0.0285714285714286	0	0	0	0	0	0	0	0	0	0.1	0
Arfrp1	0.371428571428571	0	0.5	0	0.5	0	1	0	0	0.5	0.2	0
Zgpat	0.0285714285714286	0	0	1	0.5	0	0	0	0	0	0	0
Lime1	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb46	0	0	0	0	0	0	0	0	1	0.5	0	0
Abhd16b	0	0	0	0	0	0	0	0	0	0	0	0
Tpd52l2	0.8	0	0	0	0	0	2	0.5	0	1.5	0.6	0
Dnajc5	0.485714285714286	0.333333333333333	0	1	0	2	0	0	0	0	0.8	0
Uckl1	0.228571428571429	0	0.5	0	0	0	0	0	0	0	0.3	0
Uckl1os	0	0	0	0	0	0	0	0	0	0	0.1	0
Zfp512b	0.0857142857142857	0	0.5	0	0.5	0	0	0	0	0	0.2	0
Prpf6	0.457142857142857	0	0	1	0.5	2	0	0.5	0	1	0.1	0
Samd10	0	0	0	0	0	0	0	0	0	0	0	0
Gm29797	0	0	0	0	0	0	0	0	0	0	0	0
Sox18	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Tcea2	0	0	0	0	0	0	0	0	0	0	0	0
Rgs19	0.0571428571428571	0.333333333333333	0	0	0	0	0	0	0	0	0	0
Lkaaear1	0	0	0	0	0	0	0	0	0	0	0	0
Oprl1	0	0	0	0	0	0	0	0	0	0	0	0
Myt1	0	0	0	0	0	0	0	0	0	0	0	0
Pcmtd2	0.171428571428571	0.333333333333333	0	0	0.5	0	0	0	0	0.5	0.2	0
Polr3k	0.314285714285714	0	0	0	0	1	1	0.5	0	1.5	0.2	0
Gm14496	0	0	0	0	0	0	0	0	0	0	0	0
Btbd35f23	0	0	0	0	0	0	0	0	0	0	0	0
Btbd35f24	0	0	0	0	0	0	0	0	0	0	0	0
Btbd35f11	0	0	0	0	0	0	0	0	0	0	0	0
Btbd35f18	0	0	0	0	0	0	0	0	0	0	0	0
Btbd35f10	0	0	0	0	0	0	0	0	0	0	0	0
Btbd35f16	0	0	0	0	0	0	0	0	0	0	0	0
Btbd35f3	0	0	0	0	0	0	0	0	0	0	0	0
Btbd35f28	0	0	0	0	0	0	0	0	0	0	0	0
Btbd35f20	0	0	0	0	0	0	0	0	0	0	0	0
Btbd35f17	0	0	0	0	0	0	0	0	0	0	0	0
Btbd35f4	0	0	0	0	0	0	0	0	0	0	0	0
Btbd35f27	0	0	0	0	0	0	0	0	0	0	0	0
Mycs	0	0	0	0	0	0	0	0	0	0	0	0
Btbd35f7	0	0	0	0	0	0	0	0	0	0	0	0
Nudt11	0.257142857142857	0.333333333333333	0	0	0	3	1	1	0	1	0.2	0
AU022751	0	0	0	0	0	0	0	0	0	0	0	0
Nudt10	0.0857142857142857	0	0	1	0	0	1	0	0	0.5	0.1	0
Bmp15	0	0	0	0	0	0	0	0	0	0	0	0
Shroom4	0	0	0	0	0	0	0	0	1	0	0.1	0
Dgkk	0	0	0	0	0	0	0	0	0	0	0	0
Ccnb3	0	0	0	0	0	0	0	0	0	0	0	0
Akap4	0	0	0	0	0	0	0	0	0	0	0	0
Clcn5	0.0571428571428571	0	0	0	0	0	0	0	0	0	0.1	0
Usp27x	0	0	0	0	0	0	0	0	0	0	0	1
Ppp1r3f	0	0	0	0	0	0	0	0	0	0	0.1	0
Flicr	0	0	0	0	0	0	0	0	0	0	0	0
Foxp3	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc22	0.114285714285714	0	0	0	0	1	0	0	0	0.5	0	0
Cacna1f	0	0	0	0	0	0	0	0	0	0	0	0
Syp	0	0	0	0	0	0	0	0	0	0	0	0
Gm14703	0	0	0	0	0	0	0	0	0	0	0	0
Prickle3	0.0571428571428571	0	0	0	0	0	0	0	0	0	0.1	0
Plp2	0.714285714285714	0	1	0	2	0	0	0.5	1	0.5	0.2	2
Magix	0	0	0	0	0	0	0	0	0	0	0	0
Gpkow	0.114285714285714	0	0	1	0	1	0	0	1	0.5	0.1	0
Wdr45	0.2	0.333333333333333	0	1	0	0	0	0	0	0.5	0.2	0
Gm45208	0	0	0	0	0	0	0	0	0	0	0	0
Praf2	0.285714285714286	0	0	0	0.5	2	0	0	0	0	0.2	0
Ccdc120	0	0	0	0	0	0	0	0	0	0	0	0
Tfe3	0.142857142857143	0	0	0	0	0	0	0.5	0	0	0.2	0
Gripap1	0.228571428571429	0.333333333333333	0	0	0.5	0	0	0	0	1.5	0.3	0
Kcnd1	0	0	0	0	0	0	0	0	0	0	0	0
Otud5	0.2	0.333333333333333	0	0	0	1	1	0	0	1	0.2	0
Pim2	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Slc35a2	0.2	0	0	0	0.5	1	0	0	0	0	0.1	0
Pqbp1	0.257142857142857	0	0	0	0	0	2	0	0	0.5	0.1	0
Timm17b	0.685714285714286	0	0.5	0	0	1	0	0	1	0.5	0.3	3
Gm10491	0	0	0	0	0	0	0	0	0	0	0	0
Gm10490	0	0	0	0	0	0	0	0	0	0	0	0
Pcsk1n	0	0	0	0	0	0	0	0	0	0	0	0
Eras	0	0	0	0	0	0	0	0	0	0	0	0
Hdac6	0.0285714285714286	0	0.5	0	0.5	0	0	0	0	0	0	0
Gata1	0	0	0	0	0	0	0	0	0	0	0	0
Glod5	0	0	0	0	0	0	0	0	0	0	0	0
Gm14820	0	0	0	0	0	0	0	0	0	0	0	0
Suv39h1	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Was	0	0	0	0	0	0	0	0	0	0	0	1
Wdr13	0.142857142857143	0	0	0	0.5	1	0	0.5	0	0	0.6	0
Rbm3	4.34285714285714	3.66666666666667	2	2	5.5	7	5	5	11	2	3	10
Rbm3os	0.0285714285714286	0	0	0	0	0	0	0.5	0	0	0.1	0
Tbc1d25	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Ebp	0.285714285714286	0.666666666666667	0	0	0	0	0	0	0	0	0.2	2
Porcn	0	0	0	0	0	0	0	0	0	0	0	0
Ftsj1	0.2	0	0	0	0	1	0	0	0	1	0	1
Slc38a5	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Ssxb10	0	0	0	0	0	0	0	0	0	0	0	0
Ssxb9	0	0	0	0	0	0	0	0	0	0	0	0
Ssxb1	0	0	0	0	0	0	0	0	0	0	0	0
Ssxb2	0	0	0	0	0	0	0	0	0	0	0	0
Gm14459	0	0	0	0	0	0	0	0	0	0	0	0
Ssxb6	0	0	0	0	0	0	0	0	0	0	0	0
Ssxb3	0	0	0	0	0	0	0	0	0	0	0	0
Ssxb8	0	0	0	0	0	0	0	0	0	0	0	0
Ssx9	0	0	0	0	0	0	0	0	0	0	0	0
Ssxb5	0	0	0	0	0	0	0	0	0	0	0	0
Gm6592	0	0	0	0	0	0	0	0	0	0	0	0
Gm5751	0	0	0	0	0	0	0	0	0	0	0	0
B630019K06Rik	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Fthl17b	0	0	0	0	0	0	0	0	0	0	0	0
Fthl17c	0	0	0	0	0	0	0	0	0	0	0	0
Fthl17d	0	0	0	0	0	0	0	0	0	0	0	0
Fthl17e	0	0	0	0	0	0	0	0	0	0	0	0
Fthl17f	0	0	0	0	0	0	0	0	0	0	0	0
4930402K13Rik	0	0	0	0	0	0	0	0	0	0	0	0
Lancl3	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Gm14862	0	0	0	0	0	0	0	0	0	0	0	0
Xk	0	0	0	0	0	0	0	0	0	0	0	0
H2al1m	0	0	0	0	0	0	0	0	0	0	0	0
H2al1k	0	0	0	0	0	0	0	0	0	0	0	0
Cybb	0	0	0	0	0	0	0	0	0	0	0	0
H2al1o	0	0	0	0	0	0	0	0	0	0	0	0
Dynlt3	0.4	0.666666666666667	0.5	0	0	1	0	0.5	2	0	0.6	0
Hypm	0	0	0	0	0	0	0	0	0	0	0	0
H2al3	0	0	0	0	0	0	0	0	0	0	0	0
Sytl5	0	0	0	0	0	0	0	0	0	0	0	0
Srpx	0	0	0	0	0	0	0	0	0	0	0.1	0
Rpgr	0.0571428571428571	0.333333333333333	0	0	0	0	0	0.5	0	0	0	1
Otc	0	0	0	0	0	0	0	0	0	0	0	0
Tspan7	0.228571428571429	0	0	0	0	0	1	0	0	0.5	0.2	1
Gm10489	0	0	0	0	0	0	0	0	0	0	0	0
Mid1ip1	0.314285714285714	0.333333333333333	0	0	0	1	0	1	0	0	0.1	1
Gm14493	0	0	0	0	0	0	0	0	0	0	0	0
H2al1a	0	0	0	0	0	0	0	0	0	0	0	0
H2al1b	0	0	0	0	0	0	0	0	0	0	0	0
H2al1c	0	0	0	0	0	0	0	0	0	0	0	0
H2al1d	0	0	0	0	0	0	0	0	0	0	0	0
H2al1e	0	0	0	0	0	0	0	0	0	0	0	0
H2al1f	0	0	0	0	0	0	0	0	0	0	0	0
H2al1g	0	0	0	0	0	0	0	0	0	0	0	0
H2al1h	0	0	0	0	0	0	0	0	0	0	0	0
H2al1i	0	0	0	0	0	0	0	0	0	0	0	0
H2al1j	0	0	0	0	0	0	0	0	0	0	0	0
Bcor	0.142857142857143	0	2	0	1	0	0	0	1	0	0.2	0
Gm14635	0	0	0	0	0	0	0	0	0	0	0	0
Atp6ap2	0.257142857142857	0	0	0	1	2	0	0	1	0	0.2	3
1810030O07Rik	0.171428571428571	0	0	0	0	1	1	0	0	0	0	0
Med14	0.142857142857143	0	0	0	0.5	2	1	0	1	0	0.2	0
Usp9x	0.771428571428572	0.333333333333333	0	1	0	2	3	1	2	0	0.6	0
2010308F09Rik	0	0	0	0	0	0	0	0	0	0	0	0
Ddx3x	1.02857142857143	0.666666666666667	0.5	4	1	1	0	2.5	0	1.5	1.3	2
Nyx	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Cask	0.257142857142857	0.333333333333333	0	0	0.5	0	0	0.5	0	1	0.2	0
Gpr34	0	0	0	0	0	0	0	0	0	0	0	0
Gpr82	0	0	0	0	0	0	0	0	0	0	0	0
H2al1n	0	0	0	0	0	0	0	0	0	0	0	0
Gm14505	0	0	0	0	0	0	0	0	0	0	0	0
Drr1	0	0	0	0	0	0	0	0	0	0	0	0
Cypt1	0	0	0	0	0	0	0	0	0	0	0	0
Maoa	0.428571428571429	0	0	0	0	0	1	0	0	0.5	0.8	0
Maob	0.114285714285714	0	0	0	0.5	0	0	0	0	0	0	0
Ndp	0	0	0	0	0	0	0	0	0	0	0	0
Efhc2	0	0	0	0	0	0	0	0	0	0	0	0
Fundc1	0.314285714285714	0.333333333333333	0	1	0	0	0	0.5	0	0	0.3	1
Dusp21	0	0	0	0	0	0	0	0	0	0	0	0
Kdm6a	0.2	0	1	0	0	0	0	0	0	0	0.3	0
4930578C19Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm26652	0	0	0	0	0	0	0	0	0	0	0	0
Tex13c3	0	0	0	0	0	0	0	0	0	0	0	0
Chst7	0.0571428571428571	0	0	0	0	0	0	0	0	0	0	0
Slc9a7	0	0	0	0	0	0	0	0	0	0	0	0
Rp2	0.114285714285714	0	0	0	0	0	0	0	0	0	0	0
Jade3	0.0857142857142857	0	0	0	0	0	0	0.5	0	0	0	0
Rgn	0	0	0	0	0	0	0	0	0	0	0	0
Ndufb11	3.91428571428571	3.66666666666667	2	0	5	5	3	2	2	1.5	1.6	6
Rbm10	0.342857142857143	0.666666666666667	1	1	0	0	0	0	1	0.5	0.2	1
Uba1	0.714285714285714	0	1.5	0	0.5	1	0	1	0	1	0.7	1
Cdk16	0.342857142857143	0	1	0	0.5	0	0	0.5	0	0.5	0.3	1
Usp11	0.0285714285714286	0	0	0	0	0	0	0	1	0	0.1	0
Araf	0.457142857142857	0.333333333333333	0	0	0.5	2	2	0	1	0.5	0.6	0
Syn1	0	0	0	0	0	0	0	0	0	0	0	0
Timp1	0.0571428571428571	0.666666666666667	0	0	0	0	0	0	0	0	0.1	0
Cfp	0	0	0	0	0	0	0	0	0	0	0	0
Elk1	0.0571428571428571	0	0	0	0	0	0	0	0	0	0.1	0
Uxt	0.114285714285714	0.333333333333333	0	0	0	1	0	0	0	0	0.3	0
Zfp182	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Spaca5	0	0	0	0	0	0	0	0	0	0	0	0
Zfp300	0	0	0	0	0	0	0	0	0	0	0.1	0
Ssxa1	0	0	0	0	0	0	0	0	0	0	0	0
Gm21876	0	0	0	0	0	0	0	0	0	0	0	0
4930453H23Rik	0	0	0	0	0	0	0	0	0	0	0	0
